DATE,Open,High,Low,Close,ADJCLOSE,VOLUME
20110825,1176.689941,1190.680054,1155.469971,1159.270020,1159.270020,5748420000
20110826,1158.849976,1181.229980,1135.910034,1176.800049,1176.800049,5035320000
20110829,1177.910034,1210.280029,1177.910034,1210.079956,1210.079956,4228070000
20110830,1209.760010,1220.099976,1195.770020,1212.920044,1212.920044,4572570000
20110831,1213.000000,1230.709961,1209.349976,1218.890015,1218.890015,5267840000
20110901,1219.119995,1229.290039,1203.849976,1204.420044,1204.420044,4780410000
20110902,1203.900024,1203.900024,1170.560059,1173.969971,1173.969971,4401740000
20110906,1173.969971,1173.969971,1140.130005,1165.239990,1165.239990,5103980000
20110907,1165.849976,1198.619995,1165.849976,1198.619995,1198.619995,4441040000
20110908,1197.979980,1204.400024,1183.339966,1185.900024,1185.900024,4465170000
20110909,1185.369995,1185.369995,1148.369995,1154.229980,1154.229980,4586370000
20110912,1153.500000,1162.520020,1136.069946,1162.270020,1162.270020,5168550000
20110913,1162.589966,1176.410034,1157.439941,1172.869995,1172.869995,4681370000
20110914,1173.319946,1202.380005,1162.729980,1188.680054,1188.680054,4986740000
20110915,1189.439941,1209.109985,1189.439941,1209.109985,1209.109985,4479730000
20110916,1209.209961,1220.060059,1204.459961,1216.010010,1216.010010,5248890000
20110919,1214.989990,1214.989990,1188.359985,1204.089966,1204.089966,4254190000
20110920,1204.500000,1220.390015,1201.290039,1202.089966,1202.089966,4315610000
20110921,1203.630005,1206.300049,1166.209961,1166.760010,1166.760010,4728550000
20110922,1164.550049,1164.550049,1114.219971,1129.560059,1129.560059,6703140000
20110923,1128.819946,1141.719971,1121.359985,1136.430054,1136.430054,5639930000
20110926,1136.910034,1164.189941,1131.069946,1162.949951,1162.949951,4762830000
20110927,1163.319946,1195.859985,1163.319946,1175.380005,1175.380005,5548130000
20110928,1175.390015,1184.709961,1150.400024,1151.060059,1151.060059,4787920000
20110929,1151.739990,1175.869995,1139.930054,1160.400024,1160.400024,5285740000
20110930,1159.930054,1159.930054,1131.339966,1131.420044,1131.420044,4416790000
20111003,1131.209961,1138.989990,1098.920044,1099.229980,1099.229980,5670340000
20111004,1097.420044,1125.119995,1074.770020,1123.949951,1123.949951,3714670000
20111005,1124.030029,1146.069946,1115.680054,1144.030029,1144.030029,2510620000
20111006,1144.109985,1165.550049,1134.949951,1164.969971,1164.969971,5098330000
20111007,1165.030029,1171.400024,1150.260010,1155.459961,1155.459961,5580380000
20111010,1158.150024,1194.910034,1158.150024,1194.890015,1194.890015,4446800000
20111011,1194.599976,1199.239990,1187.300049,1195.540039,1195.540039,4424500000
20111012,1196.189941,1220.250000,1196.189941,1207.250000,1207.250000,5355360000
20111013,1206.959961,1207.459961,1190.579956,1203.660034,1203.660034,4436270000
20111014,1205.650024,1224.609985,1205.650024,1224.579956,1224.579956,4116690000
20111017,1224.469971,1224.469971,1198.550049,1200.859985,1200.859985,4300700000
20111018,1200.750000,1233.099976,1191.479980,1225.380005,1225.380005,4840170000
20111019,1223.459961,1229.640015,1206.310059,1209.880005,1209.880005,4846390000
20111020,1209.920044,1219.530029,1197.339966,1215.390015,1215.390015,4870290000
20111021,1215.390015,1239.030029,1215.390015,1238.250000,1238.250000,4980770000
20111024,1238.719971,1256.550049,1238.719971,1254.189941,1254.189941,4309380000
20111025,1254.189941,1254.189941,1226.790039,1229.050049,1229.050049,4473970000
20111026,1229.170044,1246.280029,1221.060059,1242.000000,1242.000000,4873530000
20111027,1243.969971,1292.660034,1243.969971,1284.589966,1284.589966,6367610000
20111028,1284.390015,1287.079956,1277.010010,1285.089966,1285.089966,4536690000
20111031,1284.959961,1284.959961,1253.160034,1253.300049,1253.300049,4310210000
20111101,1251.000000,1251.000000,1215.420044,1218.280029,1218.280029,5645540000
20111102,1219.619995,1242.479980,1219.619995,1237.900024,1237.900024,4110530000
20111103,1238.250000,1263.209961,1234.810059,1261.150024,1261.150024,4849140000
20111104,1260.819946,1260.819946,1238.920044,1253.229980,1253.229980,3830650000
20111107,1253.209961,1261.699951,1240.750000,1261.119995,1261.119995,3429740000
20111108,1261.119995,1277.550049,1254.989990,1275.920044,1275.920044,3908490000
20111109,1275.180054,1275.180054,1226.640015,1229.099976,1229.099976,4659740000
20111110,1229.589966,1246.219971,1227.699951,1239.699951,1239.699951,4002760000
20111111,1240.119995,1266.979980,1240.119995,1263.849976,1263.849976,3370180000
20111114,1263.849976,1263.849976,1246.680054,1251.780029,1251.780029,3219680000
20111115,1251.699951,1264.250000,1244.339966,1257.810059,1257.810059,3599300000
20111116,1257.810059,1259.609985,1235.670044,1236.910034,1236.910034,4085010000
20111117,1236.560059,1237.729980,1209.430054,1216.130005,1216.130005,4596450000
20111118,1216.189941,1223.510010,1211.359985,1215.650024,1215.650024,3827610000
20111121,1215.619995,1215.619995,1183.160034,1192.979980,1192.979980,4050070000
20111122,1192.979980,1196.810059,1181.650024,1188.040039,1188.040039,3911710000
20111123,1187.479980,1187.479980,1161.790039,1161.790039,1161.790039,3798940000
20111125,1161.410034,1172.660034,1158.660034,1158.670044,1158.670044,1664200000
20111128,1158.670044,1197.349976,1158.670044,1192.550049,1192.550049,3920750000
20111129,1192.560059,1203.670044,1191.800049,1195.189941,1195.189941,3992650000
20111130,1196.719971,1247.109985,1196.719971,1246.959961,1246.959961,5801910000
20111201,1246.910034,1251.089966,1239.729980,1244.579956,1244.579956,3818680000
20111202,1246.030029,1260.079956,1243.349976,1244.280029,1244.280029,4144310000
20111205,1244.329956,1266.729980,1244.329956,1257.079956,1257.079956,4148060000
20111206,1257.189941,1266.030029,1253.030029,1258.469971,1258.469971,3734230000
20111207,1258.140015,1267.060059,1244.800049,1261.010010,1261.010010,4160540000
20111208,1260.869995,1260.869995,1231.469971,1234.349976,1234.349976,4298370000
20111209,1234.479980,1258.250000,1234.479980,1255.189941,1255.189941,3830610000
20111212,1255.050049,1255.050049,1227.250000,1236.469971,1236.469971,3600570000
20111213,1236.829956,1249.859985,1219.430054,1225.729980,1225.729980,4121570000
20111214,1225.729980,1225.729980,1209.469971,1211.819946,1211.819946,4298290000
20111215,1212.119995,1225.599976,1212.119995,1215.750000,1215.750000,3810340000
20111216,1216.089966,1231.040039,1215.199951,1219.660034,1219.660034,5345800000
20111219,1219.739990,1224.569946,1202.369995,1205.349976,1205.349976,3659820000
20111220,1205.719971,1242.819946,1205.719971,1241.300049,1241.300049,4055590000
20111221,1241.250000,1245.089966,1229.510010,1243.719971,1243.719971,2959020000
20111222,1243.719971,1255.219971,1243.719971,1254.000000,1254.000000,3492250000
20111223,1254.000000,1265.420044,1254.000000,1265.329956,1265.329956,2233830000
20111227,1265.020020,1269.369995,1262.300049,1265.430054,1265.430054,2130590000
20111228,1265.380005,1265.849976,1248.640015,1249.640015,1249.640015,2349980000
20111229,1249.750000,1263.540039,1249.750000,1263.020020,1263.020020,2278130000
20111230,1262.819946,1264.119995,1257.459961,1257.599976,1257.599976,2271850000
20120103,1258.859985,1284.619995,1258.859985,1277.060059,1277.060059,3943710000
20120104,1277.030029,1278.729980,1268.099976,1277.300049,1277.300049,3592580000
20120105,1277.300049,1283.050049,1265.260010,1281.060059,1281.060059,4315950000
20120106,1280.930054,1281.839966,1273.339966,1277.810059,1277.810059,3656830000
20120109,1277.829956,1281.989990,1274.550049,1280.699951,1280.699951,3371600000
20120110,1280.770020,1296.459961,1280.770020,1292.079956,1292.079956,4221960000
20120111,1292.020020,1293.800049,1285.410034,1292.479980,1292.479980,3968120000
20120112,1292.479980,1296.819946,1285.770020,1295.500000,1295.500000,4019890000
20120113,1294.819946,1294.819946,1277.579956,1289.089966,1289.089966,3692370000
20120117,1290.219971,1303.000000,1290.219971,1293.670044,1293.670044,4010490000
20120118,1293.650024,1308.109985,1290.989990,1308.040039,1308.040039,4096160000
20120119,1308.069946,1315.489990,1308.069946,1314.500000,1314.500000,4465890000
20120120,1314.489990,1315.380005,1309.170044,1315.380005,1315.380005,3912620000
20120123,1315.290039,1322.280029,1309.890015,1316.000000,1316.000000,3770910000
20120124,1315.959961,1315.959961,1306.060059,1314.650024,1314.650024,3693560000
20120125,1314.400024,1328.300049,1307.650024,1326.060059,1326.060059,4410910000
20120126,1326.280029,1333.469971,1313.599976,1318.430054,1318.430054,4522070000
20120127,1318.250000,1320.060059,1311.719971,1316.329956,1316.329956,4007380000
20120130,1316.160034,1316.160034,1300.489990,1313.010010,1313.010010,3659010000
20120131,1313.530029,1321.410034,1306.689941,1312.410034,1312.410034,4235550000
20120201,1312.449951,1330.520020,1312.449951,1324.089966,1324.089966,4504360000
20120202,1324.239990,1329.189941,1321.569946,1325.540039,1325.540039,4120920000
20120203,1326.209961,1345.339966,1326.209961,1344.900024,1344.900024,4608550000
20120206,1344.319946,1344.359985,1337.520020,1344.329956,1344.329956,3379700000
20120207,1344.329956,1349.239990,1335.920044,1347.050049,1347.050049,3742460000
20120208,1347.040039,1351.000000,1341.949951,1349.959961,1349.959961,4096730000
20120209,1349.969971,1354.319946,1344.630005,1351.949951,1351.949951,4209890000
20120210,1351.209961,1351.209961,1337.349976,1342.640015,1342.640015,3877580000
20120213,1343.060059,1353.349976,1343.060059,1351.770020,1351.770020,3618040000
20120214,1351.300049,1351.300049,1340.829956,1350.500000,1350.500000,3889520000
20120215,1350.520020,1355.869995,1340.800049,1343.229980,1343.229980,4080340000
20120216,1342.609985,1359.020020,1341.219971,1358.040039,1358.040039,4108880000
20120217,1358.060059,1363.400024,1357.239990,1361.229980,1361.229980,3717640000
20120221,1361.219971,1367.760010,1358.109985,1362.209961,1362.209961,3795200000
20120222,1362.109985,1362.699951,1355.530029,1357.660034,1357.660034,3633710000
20120223,1357.530029,1364.239990,1352.280029,1363.459961,1363.459961,3786450000
20120224,1363.459961,1368.920044,1363.459961,1365.739990,1365.739990,3505360000
20120227,1365.199951,1371.939941,1354.920044,1367.589966,1367.589966,3648890000
20120228,1367.560059,1373.089966,1365.969971,1372.180054,1372.180054,3579120000
20120229,1372.199951,1378.040039,1363.810059,1365.680054,1365.680054,4482370000
20120301,1365.900024,1376.170044,1365.900024,1374.089966,1374.089966,3919240000
20120302,1374.089966,1374.530029,1366.420044,1369.630005,1369.630005,3283490000
20120305,1369.589966,1369.589966,1359.130005,1364.329956,1364.329956,3429480000
20120306,1363.630005,1363.630005,1340.030029,1343.359985,1343.359985,4191060000
20120307,1343.390015,1354.849976,1343.390015,1352.630005,1352.630005,3580380000
20120308,1352.650024,1368.719971,1352.650024,1365.910034,1365.910034,3543060000
20120309,1365.969971,1374.760010,1365.969971,1370.869995,1370.869995,3639470000
20120312,1370.780029,1373.040039,1366.689941,1371.089966,1371.089966,3081870000
20120313,1371.920044,1396.130005,1371.920044,1395.949951,1395.949951,4386470000
20120314,1395.949951,1399.420044,1389.969971,1394.280029,1394.280029,4502280000
20120315,1394.170044,1402.630005,1392.780029,1402.599976,1402.599976,4271650000
20120316,1402.550049,1405.880005,1401.469971,1404.170044,1404.170044,5163950000
20120319,1404.170044,1414.000000,1402.430054,1409.750000,1409.750000,3932570000
20120320,1409.589966,1409.589966,1397.680054,1405.520020,1405.520020,3695280000
20120321,1405.520020,1407.750000,1400.640015,1402.890015,1402.890015,3573590000
20120322,1402.890015,1402.890015,1388.729980,1392.780029,1392.780029,3740590000
20120323,1392.780029,1399.180054,1386.869995,1397.109985,1397.109985,3472950000
20120326,1397.109985,1416.579956,1397.109985,1416.510010,1416.510010,3576950000
20120327,1416.550049,1419.150024,1411.949951,1412.520020,1412.520020,3513640000
20120328,1412.520020,1413.650024,1397.199951,1405.540039,1405.540039,3892800000
20120329,1405.390015,1405.390015,1391.560059,1403.280029,1403.280029,3832000000
20120330,1403.310059,1410.890015,1401.420044,1408.469971,1408.469971,3676890000
20120402,1408.469971,1422.380005,1404.459961,1419.040039,1419.040039,3572010000
20120403,1418.979980,1419.000000,1404.619995,1413.380005,1413.380005,3822090000
20120404,1413.089966,1413.089966,1394.089966,1398.959961,1398.959961,3938290000
20120405,1398.790039,1401.599976,1392.920044,1398.079956,1398.079956,3303740000
20120409,1397.449951,1397.449951,1378.239990,1382.199951,1382.199951,3468980000
20120410,1382.180054,1383.010010,1357.380005,1358.589966,1358.589966,4631730000
20120411,1358.979980,1374.709961,1358.979980,1368.709961,1368.709961,3743040000
20120412,1368.770020,1388.130005,1368.770020,1387.569946,1387.569946,3618280000
20120413,1387.609985,1387.609985,1369.849976,1370.260010,1370.260010,3631160000
20120416,1370.270020,1379.660034,1365.380005,1369.569946,1369.569946,3574780000
20120417,1369.569946,1392.760010,1369.569946,1390.780029,1390.780029,3456200000
20120418,1390.780029,1390.780029,1383.290039,1385.140015,1385.140015,3463140000
20120419,1385.079956,1390.459961,1370.300049,1376.920044,1376.920044,4180020000
20120420,1376.959961,1387.400024,1376.959961,1378.530029,1378.530029,3833320000
20120423,1378.530029,1378.530029,1358.790039,1366.939941,1366.939941,3654860000
20120424,1366.969971,1375.569946,1366.819946,1371.969971,1371.969971,3617100000
20120425,1372.109985,1391.369995,1372.109985,1390.689941,1390.689941,3998430000
20120426,1390.640015,1402.089966,1387.280029,1399.979980,1399.979980,4034700000
20120427,1400.189941,1406.640015,1397.310059,1403.359985,1403.359985,3645830000
20120430,1403.260010,1403.260010,1394.000000,1397.910034,1397.910034,3574010000
20120501,1397.859985,1415.319946,1395.729980,1405.819946,1405.819946,3807950000
20120502,1405.500000,1405.500000,1393.920044,1402.310059,1402.310059,3803860000
20120503,1402.319946,1403.069946,1388.709961,1391.569946,1391.569946,4004910000
20120504,1391.510010,1391.510010,1367.959961,1369.099976,1369.099976,3975140000
20120507,1368.790039,1373.910034,1363.939941,1369.579956,1369.579956,3559390000
20120508,1369.160034,1369.160034,1347.750000,1363.719971,1363.719971,4261670000
20120509,1363.199951,1363.729980,1343.130005,1354.579956,1354.579956,4288540000
20120510,1354.579956,1365.880005,1354.579956,1357.989990,1357.989990,3727990000
20120511,1358.109985,1365.660034,1348.890015,1353.390015,1353.390015,3869070000
20120514,1351.930054,1351.930054,1336.609985,1338.349976,1338.349976,3688120000
20120515,1338.359985,1344.939941,1328.410034,1330.660034,1330.660034,4114040000
20120516,1330.780029,1341.780029,1324.790039,1324.800049,1324.800049,4280420000
20120517,1324.819946,1326.359985,1304.859985,1304.859985,1304.859985,4664280000
20120518,1305.050049,1312.239990,1291.979980,1295.219971,1295.219971,4512470000
20120521,1295.729980,1316.390015,1295.729980,1315.989990,1315.989990,3786750000
20120522,1316.089966,1328.489990,1310.040039,1316.630005,1316.630005,4123680000
20120523,1316.020020,1320.709961,1296.530029,1318.859985,1318.859985,4108330000
20120524,1318.719971,1324.140015,1310.500000,1320.680054,1320.680054,3937670000
20120525,1320.810059,1324.199951,1314.229980,1317.819946,1317.819946,2872660000
20120529,1318.900024,1334.930054,1318.900024,1332.420044,1332.420044,3441640000
20120530,1331.250000,1331.250000,1310.760010,1313.319946,1313.319946,3534290000
20120531,1313.089966,1319.739990,1298.900024,1310.329956,1310.329956,4557620000
20120601,1309.869995,1309.869995,1277.250000,1278.040039,1278.040039,4669350000
20120604,1278.290039,1282.550049,1266.739990,1278.180054,1278.180054,4011960000
20120605,1277.819946,1287.619995,1274.160034,1285.500000,1285.500000,3403230000
20120606,1285.609985,1315.130005,1285.609985,1315.130005,1315.130005,4268360000
20120607,1316.150024,1329.050049,1312.680054,1314.989990,1314.989990,4258140000
20120608,1314.989990,1325.810059,1307.770020,1325.660034,1325.660034,3497190000
20120611,1325.719971,1335.520020,1307.729980,1308.930054,1308.930054,3537530000
20120612,1309.400024,1324.310059,1306.619995,1324.180054,1324.180054,3442920000
20120613,1324.020020,1327.280029,1310.510010,1314.880005,1314.880005,3506510000
20120614,1314.880005,1333.680054,1314.140015,1329.099976,1329.099976,3687720000
20120615,1329.189941,1343.319946,1329.189941,1342.839966,1342.839966,4401570000
20120618,1342.420044,1348.219971,1334.459961,1344.780029,1344.780029,3259430000
